"product_group","product_name","sales_sep_k_rub","cogs_sep_k_rub","margin_sep_k_rub","margin_share_pct","cum_margin_share_pct","abc_category"
Молочные продукты,Молочные продукты 662,6.57480,4.84996,1.72484,0.06,73.60,A
Молочные продукты,Молочные продукты 76,7.55718,5.84480,1.71238,0.06,73.67,A
Мясо и мясопродукты,Мясо и мясопродукты 108,3.88652,2.18746,1.69906,0.06,73.73,A
Молочные продукты,Молочные продукты 420,6.28356,4.58970,1.69386,0.06,73.79,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 115,4.34270,2.65019,1.69251,0.06,73.86,A
Молочные продукты,Молочные продукты 192,9.64733,7.95628,1.69105,0.06,73.92,A
Мясо и мясопродукты,Мясо и мясопродукты 257,3.60476,1.91568,1.68908,0.06,73.98,A
Молочные продукты,Молочные продукты 1,5.88575,4.19798,1.68777,0.06,74.04,A
Мясо и мясопродукты,Мясо и мясопродукты 408,3.98273,2.30065,1.68208,0.06,74.11,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 117,4.46484,2.78524,1.67960,0.06,74.17,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 152,4.52623,2.84940,1.67683,0.06,74.23,A
Мясо и мясопродукты,Мясо и мясопродукты 152,3.99165,2.31754,1.67411,0.06,74.29,A
Молочные продукты,Молочные продукты 241,5.19948,3.52905,1.67043,0.06,74.36,A
Мясо и мясопродукты,Мясо и мясопродукты 202,4.76432,3.10084,1.66348,0.06,74.42,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 14,4.85344,3.19221,1.66123,0.06,74.48,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 309,6.27137,4.61263,1.65874,0.06,74.54,A
Молочные продукты,Молочные продукты 235,5.13992,3.48542,1.65450,0.06,74.60,A
Овощи и фрукты,Овощи и фрукты 6,4.92096,3.26748,1.65348,0.06,74.66,A
Молочные продукты,Молочные продукты 718,5.64551,3.99360,1.65191,0.06,74.73,A
Мясо и мясопродукты,Мясо и мясопродукты 78,3.78427,2.13430,1.64997,0.06,74.79,A
Молочные продукты,Молочные продукты 19,5.60178,3.95695,1.64483,0.06,74.85,A
Мясо и мясопродукты,Мясо и мясопродукты 227,5.00997,3.36600,1.64397,0.06,74.91,A
Мясо и мясопродукты,Мясо и мясопродукты 85,3.59377,1.95347,1.64030,0.06,74.97,A
Овощи и фрукты,Овощи и фрукты 258,6.32233,4.68342,1.63891,0.06,75.03,A
Молочные продукты,Молочные продукты 460,8.49197,6.85308,1.63889,0.06,75.09,A
Молочные продукты,Молочные продукты 689,7.45993,5.82439,1.63554,0.06,75.15,A
Мясо и мясопродукты,Мясо и мясопродукты 160,3.11990,1.48660,1.63330,0.06,75.21,A
Мясо и мясопродукты,Мясо и мясопродукты 117,3.21709,1.58760,1.62949,0.06,75.27,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 7,5.89335,4.26560,1.62775,0.06,75.33,A
Молочные продукты,Молочные продукты 51,6.12057,4.49290,1.62767,0.06,75.40,A
Молочные продукты,Молочные продукты 595,3.94309,2.32112,1.62197,0.06,75.46,A
Мясо и мясопродукты,Мясо и мясопродукты 44,3.00192,1.38138,1.62054,0.06,75.52,A
Мясо и мясопродукты,Мясо и мясопродукты 467,6.53052,4.91088,1.61964,0.06,75.58,A
Молочные продукты,Молочные продукты 573,5.12732,3.51147,1.61585,0.06,75.64,A
Мясо и мясопродукты,Мясо и мясопродукты 331,49.20969,47.60701,1.60268,0.06,75.70,A
Молочные продукты,Молочные продукты 276,5.11590,3.51900,1.59690,0.06,75.75,A
Молочные продукты,Молочные продукты 447,6.10204,4.51621,1.58583,0.06,75.81,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 139,5.78973,4.20420,1.58553,0.06,75.87,A
Производство,Производство 4,6.10351,4.51848,1.58503,0.06,75.93,A
Молочные продукты,Молочные продукты 304,4.12058,2.53697,1.58361,0.06,75.99,A
Молочные продукты,Молочные продукты 440,5.15070,3.57000,1.58070,0.06,76.05,A
Мясо и мясопродукты,Мясо и мясопродукты 443,4.11957,2.54028,1.57929,0.06,76.11,A
Мясо и мясопродукты,Мясо и мясопродукты 364,4.24446,2.66670,1.57776,0.06,76.17,A
Мясо и мясопродукты,Мясо и мясопродукты 247,3.17920,1.60160,1.57760,0.06,76.22,A
Молочные продукты,Молочные продукты 661,6.11495,4.53792,1.57703,0.06,76.28,A
Мясо и мясопродукты,Мясо и мясопродукты 429,7.75476,6.17789,1.57687,0.06,76.34,A
Молочные продукты,Молочные продукты 572,6.26675,4.69170,1.57505,0.06,76.40,A
Молочные продукты,Молочные продукты 534,3.42197,1.85794,1.56403,0.06,76.46,A
Мясо и мясопродукты,Мясо и мясопродукты 304,4.18926,2.62972,1.55954,0.06,76.52,A
Молочные продукты,Молочные продукты 571,4.32037,2.76670,1.55367,0.06,76.57,A
Молочные продукты,Молочные продукты 2,5.16900,3.61584,1.55316,0.06,76.63,A
Молочные продукты,Молочные продукты 423,5.88800,4.33584,1.55216,0.06,76.69,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 298,7.39043,5.83972,1.55071,0.06,76.75,A
Мясо и мясопродукты,Мясо и мясопродукты 342,5.57390,4.02395,1.54995,0.06,76.81,A
Производство,Производство 51,3.96817,2.41872,1.54945,0.06,76.86,A
Мясо и мясопродукты,Мясо и мясопродукты 332,7.33077,5.78340,1.54737,0.06,76.92,A
Молочные продукты,Молочные продукты 405,4.53539,2.98995,1.54544,0.06,76.98,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 299,5.35428,3.80908,1.54520,0.06,77.04,A
Мясо и мясопродукты,Мясо и мясопродукты 507,4.62087,3.07580,1.54507,0.06,77.09,A
Молочные продукты,Молочные продукты 683,16.21848,14.67378,1.54470,0.06,77.15,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 150,4.45372,2.91042,1.54330,0.06,77.21,A
Молочные продукты,Молочные продукты 651,5.05060,3.50780,1.54280,0.06,77.26,A
Мясо и мясопродукты,Мясо и мясопродукты 412,3.98436,2.44506,1.53930,0.06,77.32,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 87,6.01670,4.47932,1.53738,0.06,77.38,A
Молочные продукты,Молочные продукты 592,2.75535,1.22240,1.53295,0.06,77.44,A
Овощи и фрукты,Овощи и фрукты 232,3.50763,1.97676,1.53087,0.06,77.49,A
Молочные продукты,Молочные продукты 690,4.44239,2.91916,1.52323,0.06,77.55,A
Молочные продукты,Молочные продукты 731,6.11831,4.59818,1.52013,0.06,77.61,A
Молочные продукты,Молочные продукты 463,5.99493,4.47666,1.51827,0.06,77.66,A
Молочные продукты,Молочные продукты 613,4.62643,3.11436,1.51207,0.06,77.72,A
Молочные продукты,Молочные продукты 682,4.78382,3.27456,1.50926,0.06,77.77,A
Мясо и мясопродукты,Мясо и мясопродукты 341,4.55187,3.04695,1.50492,0.06,77.83,A
Мясо и мясопродукты,Мясо и мясопродукты 81,3.46490,1.96890,1.49600,0.06,77.89,A
Овощи и фрукты,Овощи и фрукты 139,3.97083,2.47912,1.49171,0.06,77.94,A
Производство,Производство 42,3.60339,2.11200,1.49139,0.06,78.00,A
Молочные продукты,Молочные продукты 117,7.28407,5.79459,1.48948,0.06,78.05,A
Овощи и фрукты,Овощи и фрукты 272,78.92094,77.43273,1.48821,0.06,78.11,A
Овощи и фрукты,Овощи и фрукты 87,4.17813,2.69100,1.48713,0.06,78.16,A
Мясо и мясопродукты,Мясо и мясопродукты 19,3.61944,2.13430,1.48514,0.06,78.22,A
Молочные продукты,Молочные продукты 439,4.71437,3.23400,1.48037,0.06,78.27,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 104,5.30165,3.82745,1.47420,0.05,78.33,A
Овощи и фрукты,Овощи и фрукты 205,7.01901,5.54580,1.47321,0.05,78.38,A
Молочные продукты,Молочные продукты 226,3.69574,2.22364,1.47210,0.05,78.44,A
Овощи и фрукты,Овощи и фрукты 313,4.40189,2.93220,1.46969,0.05,78.49,A
Овощи и фрукты,Овощи и фрукты 102,3.32485,1.85552,1.46933,0.05,78.55,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 235,5.60604,4.14180,1.46424,0.05,78.60,A
Мясо и мясопродукты,Мясо и мясопродукты 261,3.12677,1.66400,1.46277,0.05,78.66,A
Молочные продукты,Молочные продукты 457,6.69837,5.23751,1.46086,0.05,78.71,A
Молочные продукты,Молочные продукты 199,5.28800,3.83124,1.45676,0.05,78.76,A
Мясо и мясопродукты,Мясо и мясопродукты 191,4.42482,2.97145,1.45337,0.05,78.82,A
Молочные продукты,Молочные продукты 752,5.97871,4.52609,1.45262,0.05,78.87,A
Молочные продукты,Молочные продукты 536,4.80554,3.35478,1.45076,0.05,78.93,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 35,5.26666,3.82588,1.44078,0.05,78.98,A
Мясо и мясопродукты,Мясо и мясопродукты 316,27.20610,25.77830,1.42780,0.05,79.03,A
Молочные продукты,Молочные продукты 751,6.40538,4.97898,1.42640,0.05,79.09,A
Мясо и мясопродукты,Мясо и мясопродукты 212,2.68152,1.25853,1.42299,0.05,79.14,A
Овощи и фрукты,Овощи и фрукты 103,4.47574,3.05382,1.42192,0.05,79.19,A
Молочные продукты,Молочные продукты 266,6.43293,5.01600,1.41693,0.05,79.24,A
Молочные продукты,Молочные продукты 374,3.10479,1.69652,1.40827,0.05,79.30,A
Овощи и фрукты,Овощи и фрукты 125,3.27602,1.87562,1.40040,0.05,79.35,A
Молочные продукты,Молочные продукты 745,5.54623,4.14598,1.40025,0.05,79.40,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 129,3.29639,1.89660,1.39979,0.05,79.45,A
Молочные продукты,Молочные продукты 118,6.74203,5.34582,1.39621,0.05,79.50,A
Молочные продукты,Молочные продукты 62,6.02652,4.63056,1.39596,0.05,79.56,A
Мясо и мясопродукты,Мясо и мясопродукты 149,3.93691,2.55200,1.38491,0.05,79.61,A
Овощи и фрукты,Овощи и фрукты 98,4.07044,2.68605,1.38439,0.05,79.66,A
Молочные продукты,Молочные продукты 187,8.51860,7.14476,1.37384,0.05,79.71,A
Молочные продукты,Молочные продукты 708,5.07252,3.69908,1.37344,0.05,79.76,A
Молочные продукты,Молочные продукты 684,4.88002,3.51228,1.36774,0.05,79.81,A
Молочные продукты,Молочные продукты 685,4.69504,3.33165,1.36339,0.05,79.86,A
Молочные продукты,Молочные продукты 53,4.69372,3.33071,1.36301,0.05,79.91,A
Мясо и мясопродукты,Мясо и мясопродукты 262,5.62606,4.26620,1.35986,0.05,79.96,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 58,7.61492,6.26304,1.35188,0.05,80.01,B
Молочные продукты,Молочные продукты 298,3.01865,1.67485,1.34380,0.05,80.06,B
Молочные продукты,Молочные продукты 526,4.69282,3.34950,1.34332,0.05,80.11,B
Молочные продукты,Молочные продукты 629,3.87583,2.53521,1.34062,0.05,80.16,B
Овощи и фрукты,Овощи и фрукты 80,3.23490,1.89501,1.33989,0.05,80.21,B
Молочные продукты,Молочные продукты 171,6.92452,5.58537,1.33915,0.05,80.26,B
Мясо и мясопродукты,Мясо и мясопродукты 167,2.38304,1.04413,1.33891,0.05,80.31,B
Овощи и фрукты,Овощи и фрукты 202,3.76970,2.43134,1.33836,0.05,80.36,B
Молочные продукты,Молочные продукты 419,4.79372,3.45592,1.33780,0.05,80.41,B
Мясо и мясопродукты,Мясо и мясопродукты 105,2.68456,1.34846,1.33610,0.05,80.46,B
Молочные продукты,Молочные продукты 742,3.25456,1.92150,1.33306,0.05,80.51,B
Молочные продукты,Молочные продукты 750,5.60950,4.27839,1.33111,0.05,80.56,B
Мясо и мясопродукты,Мясо и мясопродукты 438,3.17828,1.85007,1.32821,0.05,80.61,B
Молочные продукты,Молочные продукты 5,4.25808,2.93019,1.32789,0.05,80.66,B
Молочные продукты,Молочные продукты 183,3.74337,2.42295,1.32042,0.05,80.71,B
Производство,Производство 43,3.20180,1.88140,1.32040,0.05,80.76,B
Молочные продукты,Молочные продукты 436,5.77670,4.45680,1.31990,0.05,80.81,B
Мясо и мясопродукты,Мясо и мясопродукты 272,3.48683,2.17350,1.31333,0.05,80.86,B
Молочные продукты,Молочные продукты 35,3.12609,1.81761,1.30848,0.05,80.90,B
Молочные продукты,Молочные продукты 717,3.81962,2.51534,1.30428,0.05,80.95,B
Молочные продукты,Молочные продукты 628,2.97422,1.67459,1.29963,0.05,81.00,B
Молочные продукты,Молочные продукты 177,9.83482,8.55646,1.27836,0.05,81.05,B
Молочные продукты,Молочные продукты 49,3.97818,2.70573,1.27245,0.05,81.10,B
Молочные продукты,Молочные продукты 726,4.96242,3.69304,1.26938,0.05,81.14,B
Мясо и мясопродукты,Мясо и мясопродукты 497,3.28889,2.02000,1.26889,0.05,81.19,B
Мясо и мясопродукты,Мясо и мясопродукты 26,3.39946,2.13181,1.26765,0.05,81.24,B
Молочные продукты,Молочные продукты 728,5.76970,4.50221,1.26749,0.05,81.28,B
Молочные продукты,Молочные продукты 475,4.63301,3.36753,1.26548,0.05,81.33,B
Молочные продукты,Молочные продукты 433,3.46156,2.19657,1.26499,0.05,81.38,B
Молочные продукты,Молочные продукты 594,2.13367,0.87566,1.25801,0.05,81.43,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 118,4.51334,3.26178,1.25156,0.05,81.47,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 183,4.11164,2.86309,1.24855,0.05,81.52,B
Овощи и фрукты,Овощи и фрукты 238,2.38736,1.13890,1.24846,0.05,81.56,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 319,3.68126,2.43768,1.24358,0.05,81.61,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 44,4.32858,3.08579,1.24279,0.05,81.66,B
Молочные продукты,Молочные продукты 654,4.11673,2.87606,1.24067,0.05,81.70,B
Молочные продукты,Молочные продукты 260,5.69877,4.46072,1.23805,0.05,81.75,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 141,4.83293,3.59856,1.23437,0.05,81.79,B
Молочные продукты,Молочные продукты 467,4.92696,3.69397,1.23299,0.05,81.84,B
Молочные продукты,Молочные продукты 34,3.21027,1.98158,1.22869,0.05,81.89,B
Молочные продукты,Молочные продукты 716,4.47552,3.25125,1.22427,0.05,81.93,B
Молочные продукты,Молочные продукты 401,3.79539,2.57400,1.22139,0.05,81.98,B
Молочные продукты,Молочные продукты 65,4.46798,3.24778,1.22020,0.05,82.02,B
Молочные продукты,Молочные продукты 170,7.01893,5.80177,1.21716,0.05,82.07,B
Молочные продукты,Молочные продукты 606,1.99924,0.78455,1.21469,0.05,82.11,B
Овощи и фрукты,Овощи и фрукты 231,2.79103,1.57872,1.21231,0.05,82.16,B
Молочные продукты,Молочные продукты 500,3.24681,2.03710,1.20971,0.04,82.20,B
Молочные продукты,Молочные продукты 273,5.71791,4.51104,1.20687,0.04,82.25,B
Молочные продукты,Молочные продукты 169,9.82880,8.62890,1.19990,0.04,82.29,B
Молочные продукты,Молочные продукты 197,7.23177,6.03209,1.19968,0.04,82.34,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 121,3.41979,2.22588,1.19391,0.04,82.38,B
Мясо и мясопродукты,Мясо и мясопродукты 365,3.54765,2.35517,1.19248,0.04,82.43,B
Молочные продукты,Молочные продукты 425,4.74374,3.55206,1.19168,0.04,82.47,B
Молочные продукты,Молочные продукты 281,8.57032,7.37880,1.19152,0.04,82.51,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 168,3.49932,2.31011,1.18921,0.04,82.56,B
Мясо и мясопродукты,Мясо и мясопродукты 452,3.30151,2.11329,1.18822,0.04,82.60,B
Молочные продукты,Молочные продукты 168,6.49328,5.31166,1.18162,0.04,82.65,B
Производство,Производство 83,2.97951,1.79830,1.18121,0.04,82.69,B
Молочные продукты,Молочные продукты 709,4.64516,3.46491,1.18025,0.04,82.73,B
Мясо и мясопродукты,Мясо и мясопродукты 147,2.37716,1.20189,1.17527,0.04,82.78,B
Мясо и мясопродукты,Мясо и мясопродукты 470,3.01137,1.83960,1.17177,0.04,82.82,B
Мясо и мясопродукты,Мясо и мясопродукты 224,2.59245,1.42160,1.17085,0.04,82.86,B
Мясо и мясопродукты,Мясо и мясопродукты 268,2.18888,1.02012,1.16876,0.04,82.91,B
Молочные продукты,Молочные продукты 279,3.95066,2.78288,1.16778,0.04,82.95,B
Молочные продукты,Молочные продукты 638,3.10587,1.94004,1.16583,0.04,83.00,B
Молочные продукты,Молочные продукты 609,3.64060,2.47548,1.16512,0.04,83.04,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 231,4.01709,2.85362,1.16347,0.04,83.08,B
Производство,Производство 40,2.62963,1.46858,1.16105,0.04,83.12,B
Молочные продукты,Молочные продукты 434,4.88080,3.72114,1.15966,0.04,83.17,B
Мясо и мясопродукты,Мясо и мясопродукты 240,2.12080,0.96228,1.15852,0.04,83.21,B
Овощи и фрукты,Овощи и фрукты 127,3.09327,1.93915,1.15412,0.04,83.25,B
Молочные продукты,Молочные продукты 340,3.31030,2.16720,1.14310,0.04,83.30,B
Овощи и фрукты,Овощи и фрукты 46,2.16475,1.02275,1.14200,0.04,83.34,B
Молочные продукты,Молочные продукты 116,5.66420,4.52553,1.13867,0.04,83.38,B
Молочные продукты,Молочные продукты 182,7.01911,5.88098,1.13813,0.04,83.42,B
Овощи и фрукты,Овощи и фрукты 324,2.40569,1.26833,1.13736,0.04,83.47,B
Молочные продукты,Молочные продукты 29,4.43175,3.29681,1.13494,0.04,83.51,B
Овощи и фрукты,Овощи и фрукты 353,5.53772,4.40497,1.13275,0.04,83.55,B
Молочные продукты,Молочные продукты 707,3.97865,2.84640,1.13225,0.04,83.59,B
Производство,Производство 66,2.79269,1.66480,1.12789,0.04,83.63,B
Мясо и мясопродукты,Мясо и мясопродукты 512,3.99455,2.86902,1.12553,0.04,83.68,B
Молочные продукты,Молочные продукты 585,2.76533,1.64076,1.12457,0.04,83.72,B
Мясо и мясопродукты,Мясо и мясопродукты 97,3.66576,2.54520,1.12056,0.04,83.76,B
Молочные продукты,Молочные продукты 48,3.82846,2.71076,1.11770,0.04,83.80,B
Мясо и мясопродукты,Мясо и мясопродукты 58,2.42054,1.30380,1.11674,0.04,83.84,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 116,4.69750,3.58311,1.11439,0.04,83.88,B
Мясо и мясопродукты,Мясо и мясопродукты 13,2.75182,1.64124,1.11058,0.04,83.92,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 323,4.99138,3.88244,1.10894,0.04,83.97,B
Овощи и фрукты,Овощи и фрукты 243,4.11373,3.00559,1.10814,0.04,84.01,B
Молочные продукты,Молочные продукты 4,3.78945,2.68155,1.10790,0.04,84.05,B
Молочные продукты,Молочные продукты 503,3.17082,2.06400,1.10682,0.04,84.09,B
Молочные продукты,Молочные продукты 61,3.75911,2.65266,1.10645,0.04,84.13,B
Мясо и мясопродукты,Мясо и мясопродукты 417,2.09290,0.98712,1.10578,0.04,84.17,B
Овощи и фрукты,Овощи и фрукты 109,9.47901,8.37397,1.10504,0.04,84.21,B
Мясо и мясопродукты,Мясо и мясопродукты 137,2.01517,0.91248,1.10269,0.04,84.25,B
Молочные продукты,Молочные продукты 647,2.94129,1.84008,1.10121,0.04,84.29,B
Молочные продукты,Молочные продукты 491,5.07807,3.97803,1.10004,0.04,84.34,B
Молочные продукты,Молочные продукты 604,2.76408,1.66484,1.09924,0.04,84.38,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 163,4.11943,3.02088,1.09855,0.04,84.42,B
Молочные продукты,Молочные продукты 415,4.15897,3.06357,1.09540,0.04,84.46,B
Мясо и мясопродукты,Мясо и мясопродукты 53,2.98950,1.89441,1.09509,0.04,84.50,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 280,4.65433,3.56000,1.09433,0.04,84.54,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 225,4.22297,3.12897,1.09400,0.04,84.58,B
Молочные продукты,Молочные продукты 189,3.82817,2.73427,1.09390,0.04,84.62,B
Производство,Производство 35,2.19197,1.10080,1.09117,0.04,84.66,B
Молочные продукты,Молочные продукты 429,4.30126,3.21206,1.08920,0.04,84.70,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 20,4.21591,3.12741,1.08850,0.04,84.74,B
Молочные продукты,Молочные продукты 63,4.01063,2.92721,1.08342,0.04,84.78,B
Молочные продукты,Молочные продукты 380,2.28481,1.20346,1.08135,0.04,84.82,B
Овощи и фрукты,Овощи и фрукты 141,2.46313,1.38360,1.07953,0.04,84.86,B
Молочные продукты,Молочные продукты 395,4.46446,3.38586,1.07860,0.04,84.90,B
Мясо и мясопродукты,Мясо и мясопродукты 180,1.93608,0.86100,1.07508,0.04,84.94,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 305,7.59782,6.52421,1.07361,0.04,84.98,B
Овощи и фрукты,Овощи и фрукты 123,3.03373,1.96560,1.06813,0.04,85.02,B
Молочные продукты,Молочные продукты 616,2.97052,1.90539,1.06513,0.04,85.06,B
Мясо и мясопродукты,Мясо и мясопродукты 432,3.93693,2.87196,1.06497,0.04,85.10,B
Овощи и фрукты,Овощи и фрукты 162,2.99753,1.93380,1.06373,0.04,85.14,B
Молочные продукты,Молочные продукты 547,2.81173,1.75490,1.05683,0.04,85.18,B
Молочные продукты,Молочные продукты 195,3.29033,2.23524,1.05509,0.04,85.22,B
Молочные продукты,Молочные продукты 176,6.52122,5.46635,1.05487,0.04,85.26,B
Молочные продукты,Молочные продукты 67,4.33486,3.28295,1.05191,0.04,85.30,B
Мясо и мясопродукты,Мясо и мясопродукты 494,3.37181,2.32000,1.05181,0.04,85.34,B
Молочные продукты,Молочные продукты 268,10.75627,9.70538,1.05089,0.04,85.38,B
Молочные продукты,Молочные продукты 746,4.26341,3.21255,1.05086,0.04,85.41,B
Молочные продукты,Молочные продукты 64,3.80685,2.75639,1.05046,0.04,85.45,B
Мясо и мясопродукты,Мясо и мясопродукты 249,3.88714,2.83800,1.04914,0.04,85.49,B
Молочные продукты,Молочные продукты 649,3.66373,2.61950,1.04423,0.04,85.53,B
Мясо и мясопродукты,Мясо и мясопродукты 520,2.72966,1.68660,1.04306,0.04,85.57,B
Молочные продукты,Молочные продукты 700,3.63222,2.58960,1.04262,0.04,85.61,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 106,2.64464,1.60217,1.04247,0.04,85.65,B
Мясо и мясопродукты,Мясо и мясопродукты 296,2.78742,1.74580,1.04162,0.04,85.69,B
Мясо и мясопродукты,Мясо и мясопродукты 2,2.66808,1.62786,1.04022,0.04,85.73,B
Мясо и мясопродукты,Мясо и мясопродукты 266,3.71309,2.67540,1.03769,0.04,85.76,B
Овощи и фрукты,Овощи и фрукты 68,4.30632,3.26916,1.03716,0.04,85.80,B
Мясо и мясопродукты,Мясо и мясопродукты 491,8.24999,7.21284,1.03715,0.04,85.84,B
Мясо и мясопродукты,Мясо и мясопродукты 56,21.76021,20.72450,1.03571,0.04,85.88,B
Мясо и мясопродукты,Мясо и мясопродукты 69,3.08789,2.05326,1.03463,0.04,85.92,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 181,4.05286,3.02120,1.03166,0.04,85.96,B
Мясо и мясопродукты,Мясо и мясопродукты 187,2.02121,0.99225,1.02896,0.04,85.99,B
Мясо и мясопродукты,Мясо и мясопродукты 246,3.02194,1.99571,1.02623,0.04,86.03,B
Мясо и мясопродукты,Мясо и мясопродукты 450,2.37807,1.35199,1.02608,0.04,86.07,B
Мясо и мясопродукты,Мясо и мясопродукты 466,4.91935,3.89664,1.02271,0.04,86.11,B
Мясо и мясопродукты,Мясо и мясопродукты 515,3.42991,2.40911,1.02080,0.04,86.15,B
Молочные продукты,Молочные продукты 250,5.07439,4.05390,1.02049,0.04,86.18,B
Молочные продукты,Молочные продукты 204,4.54544,3.52551,1.01993,0.04,86.22,B
Молочные продукты,Молочные продукты 520,6.04961,5.03451,1.01510,0.04,86.26,B
Молочные продукты,Молочные продукты 167,8.66676,7.65698,1.00978,0.04,86.30,B
Молочные продукты,Молочные продукты 618,2.96178,1.96118,1.00060,0.04,86.33,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 147,2.45685,1.45920,0.99765,0.04,86.37,B
Мясо и мясопродукты,Мясо и мясопродукты 4,2.50364,1.50738,0.99626,0.04,86.41,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 271,4.86024,3.87000,0.99024,0.04,86.45,B
Молочные продукты,Молочные продукты 403,3.31144,2.32190,0.98954,0.04,86.48,B
Овощи и фрукты,Овощи и фрукты 45,2.25289,1.26390,0.98899,0.04,86.52,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 321,3.91252,2.92520,0.98732,0.04,86.56,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 216,4.82814,3.85098,0.97716,0.04,86.59,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 153,3.02818,2.05200,0.97618,0.04,86.63,B
Молочные продукты,Молочные продукты 6,4.39323,3.41880,0.97443,0.04,86.66,B
Молочные продукты,Молочные продукты 82,4.74816,3.77496,0.97320,0.04,86.70,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 39,3.15402,2.18200,0.97202,0.04,86.74,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 73,3.74271,2.77196,0.97075,0.04,86.77,B
Молочные продукты,Молочные продукты 110,5.51257,4.54264,0.96993,0.04,86.81,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 214,4.62797,3.65940,0.96857,0.04,86.85,B
Производство,Производство 72,2.01763,1.05069,0.96694,0.04,86.88,B
Молочные продукты,Молочные продукты 404,2.98161,2.01654,0.96507,0.04,86.92,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 174,3.11911,2.15444,0.96467,0.04,86.95,B
Молочные продукты,Молочные продукты 109,5.53438,4.57104,0.96334,0.04,86.99,B
Молочные продукты,Молочные продукты 471,4.02851,3.06668,0.96183,0.04,87.02,B
Производство,Производство 41,2.12684,1.16616,0.96068,0.04,87.06,B
Мясо и мясопродукты,Мясо и мясопродукты 513,3.32847,2.37024,0.95823,0.04,87.10,B
Молочные продукты,Молочные продукты 524,3.58192,2.62470,0.95722,0.04,87.13,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 46,3.42909,2.47426,0.95483,0.04,87.17,B
Мясо и мясопродукты,Мясо и мясопродукты 354,2.89337,1.93952,0.95385,0.04,87.20,B
Мясо и мясопродукты,Мясо и мясопродукты 269,1.77864,0.82894,0.94970,0.04,87.24,B
Молочные продукты,Молочные продукты 437,3.87254,2.92799,0.94455,0.04,87.27,B
Молочные продукты,Молочные продукты 373,2.09481,1.15121,0.94360,0.04,87.31,B
Мясо и мясопродукты,Мясо и мясопродукты 370,2.34384,1.40052,0.94332,0.04,87.34,B
Молочные продукты,Молочные продукты 698,4.29545,3.35244,0.94301,0.04,87.38,B
Молочные продукты,Молочные продукты 530,3.83387,2.89131,0.94256,0.04,87.41,B
Молочные продукты,Молочные продукты 428,4.27502,3.33366,0.94136,0.03,87.45,B
Мясо и мясопродукты,Мясо и мясопродукты 509,2.35672,1.41916,0.93756,0.03,87.48,B
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 195,1.95335,1.01584,0.93751,0.03,87.52,B
