"product_group","product_name","sales_sep_k_rub","cogs_sep_k_rub","margin_sep_k_rub","margin_share_pct","cum_margin_share_pct","abc_category"
Мясо и мясопродукты,Мясо и мясопродукты 140,11.15831,6.53122,4.62709,0.17,45.66,A
Мясо и мясопродукты,Мясо и мясопродукты 315,11.21509,6.60814,4.60695,0.17,45.83,A
Мясо и мясопродукты,Мясо и мясопродукты 420,9.15129,4.55198,4.59931,0.17,46.00,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 170,15.69569,11.10030,4.59539,0.17,46.17,A
Мясо и мясопродукты,Мясо и мясопродукты 175,10.25679,5.69550,4.56129,0.17,46.34,A
Овощи и фрукты,Овощи и фрукты 250,30.58797,26.02840,4.55957,0.17,46.51,A
Мясо и мясопродукты,Мясо и мясопродукты 115,9.33512,4.79525,4.53987,0.17,46.68,A
Молочные продукты,Молочные продукты 296,15.17384,10.63412,4.53972,0.17,46.85,A
Мясо и мясопродукты,Мясо и мясопродукты 501,18.72845,14.19350,4.53495,0.17,47.02,A
Молочные продукты,Молочные продукты 184,14.60483,10.07073,4.53410,0.17,47.18,A
Мясо и мясопродукты,Мясо и мясопродукты 24,12.68978,8.16656,4.52322,0.17,47.35,A
Мясо и мясопродукты,Мясо и мясопродукты 483,23.31829,18.81600,4.50229,0.17,47.52,A
Мясо и мясопродукты,Мясо и мясопродукты 185,10.44790,5.94605,4.50185,0.17,47.69,A
Мясо и мясопродукты,Мясо и мясопродукты 330,13.15267,8.66366,4.48901,0.17,47.85,A
Молочные продукты,Молочные продукты 706,16.01587,11.55384,4.46203,0.17,48.02,A
Молочные продукты,Молочные продукты 469,22.64599,18.24446,4.40153,0.16,48.18,A
Молочные продукты,Молочные продукты 710,15.17094,10.77206,4.39888,0.16,48.35,A
Молочные продукты,Молочные продукты 227,10.28976,5.94719,4.34257,0.16,48.51,A
Молочные продукты,Молочные продукты 453,19.68929,15.35058,4.33871,0.16,48.67,A
Мясо и мясопродукты,Мясо и мясопродукты 127,10.94372,6.64671,4.29701,0.16,48.83,A
Мясо и мясопродукты,Мясо и мясопродукты 10,21.85174,17.55633,4.29541,0.16,48.99,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 226,26.73498,22.45082,4.28416,0.16,49.15,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 49,16.88827,12.60770,4.28057,0.16,49.31,A
Молочные продукты,Молочные продукты 490,19.99339,15.75214,4.24125,0.16,49.46,A
Мясо и мясопродукты,Мясо и мясопродукты 484,24.90119,20.70000,4.20119,0.16,49.62,A
Мясо и мясопродукты,Мясо и мясопродукты 80,8.59660,4.41250,4.18410,0.16,49.78,A
Мясо и мясопродукты,Мясо и мясопродукты 95,10.69009,6.56140,4.12869,0.15,49.93,A
Молочные продукты,Молочные продукты 567,12.97819,8.85032,4.12787,0.15,50.08,A
Молочные продукты,Молочные продукты 619,11.93345,7.82706,4.10639,0.15,50.24,A
Молочные продукты,Молочные продукты 673,15.74441,11.65094,4.09347,0.15,50.39,A
Молочные продукты,Молочные продукты 461,10.63626,6.55721,4.07905,0.15,50.54,A
Мясо и мясопродукты,Мясо и мясопродукты 223,10.24642,6.18550,4.06092,0.15,50.69,A
